root_id,position,supervoxel_id
720575940613726179,[352484 175164 229040],76704474512672967
720575940623219453,[631424 216180  55880],81490235707935665
720575940613998790,[713412 223496  57080],82897679310436225
720575940606611401,[444928 283372  77240],78254373054459056
720575940620628957,[516764 103356  67880],79517986792372064
720575940623081400,[523768  95008  81080],79588218097955609
720575940615848788,[437536 290624  81960],78113773005204743
720575940622897639,[515204  92704  88280],79447480676382111
720575940650527222,[517080  94508 108320],79517849487611135
720575940632112429,[440992 277604  50160],78183935523460740
720575940626608401,[613772 334756  75240],81140384918898864
720575940646663044,[572048 206220  29240],80434498319496396
720575940613958194,[475788 415152 254560],78819522634699278
720575940632869823,[326804 254880 273360],76213199107817982
720575940636242153,[345532 258776 267200],76565111547920320
720575940636608142,[570128 198476  20560],80434360813429418
720575940642066376,[320572 249464 268200],76142761643952437
720575940612194611,[326684 271040 273640],76213473985730493
720575940621309934,[304896 269568 267000],75861630264602893
720575940637671795,[331148 253472 270120],76283567851866610
720575940629080394,[345512 269428 266080],76565317639902034
720575940617654818,[442904 289876  74120],78254510493339424
720575940615325607,[244120 225892 227640],74805343053525370
720575940639145550,[440100 274768  62200],78183866870803746
720575940615605649,[341720 260644 273440],76494811523464497
720575940608054852,[344772 259124 269680],76565111548034191
720575940612743330,[332100 271292 269480],76354211473926601
720575940623088398,[331132 269560 276320],76283842729997842
720575940621659114,[328704 268396 276640],76283774010522290
720575940622519748,[369268 263224 260800],76987392665849422
720575940623089166,[327596 271204 275920],76283842729978480
720575940620566998,[333652 268572 276040],76354142754669478
720575940645450116,[321844 270040 274440],76143105241568954
720575940630314543,[339332 262472 275280],76424442779345820
720575940616316741,[337108 263208 271440],76424442779221233
720575940632380178,[349908 257716 267080],76635480292117237
720575940634562917,[339312 302344 258080],76425129907111537
720575940640169947,[421984 264012  91920],77902185803165742
720575940635960292,[636596 171448  50160],81559848537673145
720575940611667173,[563336 202692  28800],80293692111615679
720575940614686003,[586252 202136  16120],80715904509551312
720575940628485596,[372764 182696 220880],77056386886316367
720575940630546302,[663368 205628 202480],82052979972838877
720575940620074778,[378160 167120 223000],77126549472167201
720575940626705029,[468120 184596 209560],78674936721517239
720575940644733806,[451980 217128 224160],78394011501115825
720575940627080872,[562256 199724  17520],80293692044380902
720575940628842314,[585000 201472  22520],80645535832309590
720575940619756411,[359716 270016 262200],76776423872299850
720575940634102639,[563856 201064  23600],80293692111454171
720575940640096976,[473012 409796 256360],78749085171158031
720575940621222792,[579316 207564  26320],80575304527242781
720575940617145561,[578940 140624  27920],80574136295904827
720575940615626018,[584492 204844  31000],80645604552125937
720575940616747830,[573616 198456  21160],80504729624399043
720575940624803059,[464480 186340 215640],78604567977522676
720575940627162942,[319884 276772 269600],76143173960868546
720575940619011494,[582608 206620  24920],80645604551883750
720575940636247273,[580796 199952  21920],80575167088109104
720575940618691419,[584448 204832  27720],80645604552007723
720575940623858675,[638452 236856 204200],81560948519375132
720575940613513642,[325828 186316 133480],76212030407063301
720575940635449495,[451128 186184 219200],78393461745110396
720575940629401163,[576708 207076  23160],80504867063456274
720575940632509711,[668412 323904 107680],82125341312911305
720575940634026925,[374220 147568  98240],77055836727686850
720575940617903643,[573592 171356  14640],80504317240442177
720575940629583914,[582224 202444  20320],80645535765505776
720575940623180732,[553236 133584 157120],80151786795035693
720575940631038125,[351876 278768 116680],76635823353105671
720575940605113376,[574652 159052  18160],80504111082030787
720575940641284853,[591252 295836  83840],80787854069975142
720575940613243089,[331440 201788 108000],76282673961779127
720575940641590491,[581264 203336  25640],80575235807733874
720575940628615683,[497016 143316  31360],79166830131888944
720575940628879055,[432584 273300 215320],78043129852586666
720575940627155914,[337016 274352 269760],76424648937598194
720575940628915460,[317020 148052 145560],76070674510135531
720575940630816207,[479232 168208  25520],78885767472017847
720575940624720259,[344212 263732 270760],76565180267533674
720575940625338249,[504876 149720  32480],79307636339794914
720575940631118610,[488860 171088  26120],79026573679868492
720575940628471811,[573616 202800  25320],80504798344067187
720575940631779532,[414956 194660  85080],77760280083451879
720575940624293449,[843548 251076 222960],85149960697908396
720575940620424813,[466452 175920  27200],78604429934267001
720575940611957427,[731136 166224 144080],83178192549999013
720575940625115422,[573108 208048  25560],80434567038833079
720575940631604024,[383708 124900 185760],77196162234393325
720575940629190615,[464988 179044  26720],78604498653761905
720575940619762880,[521272 138808 155480],79588974280487886
720575940615311628,[578488 204864  24960],80575235807700715
720575940649098105,[567408 303564  94600],80365779044214965
720575940612755618,[611292 157332  30640],81137361127244124
720575940624980455,[380448 275232 249000],77128336312236723
720575940620506049,[565944 198140  20360],80363992069204812
720575940616766169,[708752 169896 113000],82826417414749952
720575940632436307,[515308  96660  68200],79447480609247931
720575940613647007,[592008 184828  14680],80785998375613377
720575940627565820,[461328 167508  28960],78533923751144077
720575940633832628,[574604 176208  16040],80504385959985531
720575940618032162,[299500 218532 268520],75790368167275182
720575940612857878,[593480 156660  26760],80785517406432401
720575940634462304,[566432 207304  26640],80364129575241793
720575940640351872,[337044 259480 270560],76424374059703177
720575940631023099,[581920 319936 205440],80647529301027926
720575940607447491,[455332 220024 216760],78464448964537787
720575940609321938,[448184 225808 217200],78323780195626283
720575940618385718,[521232  91332  77360],79588149378324141
720575940626742288,[466724 182224 207240],78674868001952939
720575940615790310,[464148 174920 200680],78604430471661052
720575940625886351,[469980 180088 199880],78674867935293611
720575940632698519,[457256 188176 217760],78463899208748396
720575940610505957,[470636 182068 208000],78674868001982401
720575940630492191,[464012 192884 224160],78604705416787372
720575940621462512,[535180 143024  28320],79800148829457103
720575940641963936,[454844 189416 223440],78463899208934222
720575940633638580,[461584 183192 215560],78534199233353991
720575940630546084,[455380 186456 221160],78463830489378923
720575940632303772,[465568 179264 204840],78604499191279208
720575940608083780,[609628 198888 206040],81067680181860169
720575940603804704,[449768 189964 220800],78323161720477881
720575940620204412,[464200 180776 208280],78604499257805882
720575940618420417,[451924 193388 226760],78393599250746593
720575940617833419,[452136 195972 224760],78393667903732928
720575940630046511,[470800 181968 202480],78745236679565853
720575940628602220,[455904 196132 226040],78464036714322454
720575940628602476,[451772 188400 222560],78393530464724786
720575940610293683,[454104 186072 216280],78393461745018143
720575940629486714,[435920 401424 254440],78115629034635075
720575940628363820,[523432 102060  93680],79588355603848518
720575940634475119,[570412 184400  14080],80434154654715245
720575940642910152,[501148  93824  76920],79236374377029972
720575940624100075,[407104 195660  65720],77619611247484177
720575940625911556,[458184 185600 215360],78463830489171834
720575940630890040,[570820 201608  23040],80434429599790941
720575940616429825,[346536 159112 147280],76563461877967857
720575940626828292,[321964 212256 107280],76142142631753819
720575940619708507,[702844 292788  76320],82687741376636108
720575940626093720,[635852 243128 210480],81561017305483054
720575940615942506,[332692 173920 142000],76352561737253461
720575940622267350,[588488 296012  53840],80717485191920861
720575940630892631,[491972 171488  25880],79096942424032608
720575940627020487,[581868 200452  25720],80645535832442769
720575940620344436,[343328 263652 268480],76494811523308931
720575940627956471,[611684 172572 202720],81137636542640566
720575940625917386,[403468 280788  92480],77550616960163414
720575940630409413,[777036 308336 201560],83954654052444937
720575940623318453,[336412 296192 267240],76424992534909099
720575940631187004,[654424 283316 165280],81843179342596377
720575940627722234,[422836 317908 155960],77903079357762098
720575940626505226,[737860 239964 242280],83320167257958373
720575940609783598,[554112 300780  36080],80154603890713126
720575940605404076,[251784 301144 172080],74947317291335063
720575940628003304,[319692 146852 147560],76141043254457805
720575940636922084,[662784 299508 151640],81984191641982796
720575940638164864,[689560 301620  74920],82476841302382715
720575940607455171,[332904 235924  98800],76353592394620492
720575940632134483,[570716 309796  38640],80436285026025780
720575940622979805,[303256 298508 225520],75862111100266635
720575940611998578,[323616 152580 148160],76211480718152124
720575940645461636,[720808 206384  75720],83038141988322808
720575940633292057,[565020 298948  43240],80365710190167412
720575940611300323,[434872 231712 214080],78112742682479046
720575940619169633,[323268 158872 202840],76211618291806569
720575940644327022,[565328 300280  29240],80365710123229865
720575940628122706,[615168 184020 204640],81208211445340403
720575940629925207,[362340 151788 207600],76844799617002541
720575940625334794,[322992 163852 186600],76141318266521956
720575940621633683,[444528 344368 169920],78255404181821825
720575940618397598,[633128 214584 209800],81490167524964409
720575940606563249,[319956 141436 150520],76140905815371777
720575940615896806,[327960 127368 156760],76281437145294647
720575940612654573,[684440 150852  64960],82403929937175273
720575940615257823,[317168 145728 146960],76070605790646602
720575940625871132,[649836 222216 214680],81771779940809618
720575940639751376,[350076 112528 151760],76633005988249948
720575940644219671,[632072 218352 209960],81490236244447353
720575940622107628,[625612 222108 213560],81349567475684137
720575940621356470,[317340 153628 145800],76070743229705124
720575940633044634,[405720 280036 115560],77620985771528534
720575940611764066,[635108 216576 197720],81560604921795004
720575940629673209,[630364 228616 213720],81420073658798888
720575940636898270,[430828 331980 153160],78044091723907597
720575940630258003,[405188 280340 117840],77620985771611459
720575940620441821,[549196 294288  38280],80084166426970629
720575940624036021,[299592 221124 197440],75790436618650038
720575940608904312,[528260 182200  38120],79730398560738121
720575940624211075,[639004 217296 197160],81630973665939698
720575940621433599,[314436 150044 148280],76000374485491060
720575940614603403,[624912 215312 215040],81349430036785880
720575940623579371,[571812 307424  42960],80436216373275804
720575940626255632,[641408 215784 213920],81630973732915910
720575940624377323,[403408 247016  51880],77550067069951004
720575940618376614,[638464 211288 210880],81560467549720126
720575940635938495,[565492 309748  43160],80365847629106780
720575940610867683,[632304 218500 214440],81490236244586119
720575940625887119,[664364 323408 100760],82054972502130173
720575940637410394,[375728 302684 132840],77058448201720205
720575940615377041,[676240 241724 109800],82264704411764715
720575940624920871,[347264 135468 201640],76563049695750704
720575940610754162,[632248 212556 204240],81490167458360269
720575940636256319,[319064 146516 144440],76070674510120248
720575940625732227,[400840 213024 212920],77479149106955929
720575940615963916,[684944 349120 181680],82407228808211174
720575940619859532,[640564 221532 209680],81631042452262751
720575940629531351,[631948 215496 213200],81490167525077657
720575940629358321,[440820 242132 223040],78183317585411102
720575940615236582,[398344 305012 146840],77480660733949366
720575940609291214,[407116 295164 106440],77621260649155920
720575940622784039,[565688 307644  28600],80365847562059568
720575940617900123,[646392 222864 211000],81701411196492050
720575940605856689,[649148 221672 205400],81771779874095068
720575940620682049,[704432 232644 161760],82757148316619896
720575940621671687,[577260 307724  30280],80576953794772426
720575940622457028,[475920 275472  71520],78817185568786230
720575940610980932,[484316 125060 171880],78955380771953642
720575940624734512,[326940 134624 146880],76211205840050016
720575940634109326,[649180 219320 213160],81771711221245423
720575940651646966,[513260 347928 200280],79451741619813823
720575940632351898,[633812 223084 212880],81490304963995227
720575940622971911,[643280 216096 199840],81701342410234033
720575940622186305,[339496 128988 150360],76422174633794448
720575940644377380,[739700 298684 177920],83321197848657661
720575940615382751,[421784 320212 164320],77903148077554803
720575940625053829,[628012 217520 212760],81419867500339770
720575940628902043,[647316 214532 194520],81771642434747927
720575940623437180,[374128 217696  70320],77057004891329064
720575940609658377,[625516 217048 208880],81349498756051741
720575940627589126,[626324 221684 217000],81349567475812928
720575940629639383,[665484 239208  35280],82053529191344800
720575940617184001,[515604 356528 183000],79451878991779049
720575940625747953,[643064 222404 206800],81701411196347339
720575940623865417,[624008 218880 213600],81349498756216297
720575940625745137,[636496 231128 208600],81560811146996741
720575940631044141,[574668 301564  31360],80506447611667326
720575940621173025,[647152 224316 207360],81771848660006163
720575940608901333,[321128 147592 138960],76141043187191722
720575940644438551,[628576 171892  41280],81419110982242486
720575940631371991,[326884 134220 158720],76211205840285793
720575940630355537,[626360 212504 213600],81349430036734565
720575940622413948,[529984 349928 200440],79733216596513474
720575940617591687,[628920 215820 216480],81419867500455880
720575940620085670,[637072 219648 208160],81560673708032377
720575940604395436,[426928 131976 111960],77970355591127865
720575940624576038,[322392 155500 184600],76141180761169593
720575940639695568,[401528 304496 129160],77551029411109695
720575940633893401,[640776 217736 207840],81630973732729001
720575940620431752,[636384 212780 212520],81560536269239859
720575940628074365,[572956 308720  49000],80436216373498921
720575940607893193,[627780 231164 212680],81420073658779280
720575940613977494,[342668 260932  98000],76494810919403683
720575940628411781,[500736 182888 208640],79237886674897444
720575940609970090,[643588 213604 212160],81701273757580314
720575940627376702,[570128 301480  30400],80436078867464024
720575940625952186,[637008 216728 213640],81560604988758965
720575940611554034,[651524 217428 210840],81842079965352922
720575940614032690,[694812 166880 196920],82544942706561057
720575940629837563,[644916 269564  35600],81702235226311684
720575940616778038,[537956 202440  38440],79871479646562164
720575940637165987,[628932 216520 209560],81419867500251483
720575940637192169,[565032 299340  26120],80365710123117642
720575940636747854,[634628 213652 215280],81560536269340276
720575940618887838,[320836 150576 147520],76141111973969157
720575940637151807,[586644 306172  28240],80717691283013592
720575940645847860,[645332 217976 212880],81701342477068171
720575940633211975,[463204 159408 208200],78604155660421203
720575940610334066,[639956 215992 201480],81630973666103921
720575940652427254,[666972 147608 178120],82052017832826246
720575940629777475,[585164 233500 213080],80646086192291185
720575940625115063,[564212 304696  27240],80295410098363768
720575940644574243,[510904 126688 149520],79377661889311773
720575940623396548,[346316 114904 154560],76562705963563939
720575940632171857,[344388 116176 157320],76562705963580605
720575940646436899,[628960 214708 206760],81419798780686604
720575940631260476,[320476 143548 147720],76140974534885569
720575940627283176,[643576 215608 205040],81701342410428793
720575940626971803,[407632 276220 117120],77620917052120363
720575940621573500,[618792 334148  65280],81281053687418917
720575940635103001,[348216 164228 202840],76633899476292224
720575940640934363,[486976 363508 249680],78959435489367904
720575940622932487,[342364 165944 206360],76493162054504765
720575940629414987,[352632 172884 203160],76704405659463513
720575940628602874,[644128 225428 201480],81701479849210273
720575940632678099,[499424 347340 251360],79240635588225833
720575940631804703,[392212 182792 218720],77337930582467056
720575940632310940,[342424 168724 199160],76493230707343093
720575940616670016,[337976 166816 198680],76422861963157082
720575940614265827,[374688 209940  75640],77056867452504703
720575940623860458,[338072 164492 206000],76422793310316827
720575940625894799,[341600 166796 196440],76493230707246674
720575940636167416,[448028 133436  51720],78322199110472666
720575940634121055,[636396 219100 198600],81560604921806356
720575940603744992,[645716 222800 204320],81701411129833618
720575940615101638,[329652 290556 271360],76284186327197614
720575940622331882,[639212 259696  23480],81631660323438387
720575940606612937,[414988 265300  48440],77761516899904890
720575940634086295,[736332 227624 203320],83249592221167398
720575940619620852,[418216 292876  60280],77832297960896565
720575940609258850,[710856 262772  61880],82827997761275930
720575940616985318,[405100 178372  83200],77548898972933286
720575940618173494,[746796 258748 150400],83461248074911208
720575940631750943,[519436 127992  36960],79518398974908718
720575940632571583,[429116 294680  58000],77973104168788731
720575940620394689,[406068 175756  84440],77619267717152310
720575940614099142,[631684 272844  25440],81491128993549545
720575940614309535,[405600 229668  52360],77620160936310860
720575940630892544,[788036 313228  97480],84165828668616678
720575940622948243,[778660 267256 215200],84024335668719686
720575940632229457,[430912 295896 104000],78043473114146369
720575940634433887,[720576 192492 144600],83037936098034522
720575940623532471,[739452 198696 174080],83319479861619496
720575940617790347,[259636 334800 208560],75088673389061358
720575940629327872,[723084 188368 139880],83037867312032883
720575940621069040,[723252 185324 167200],83037798726253952
720575940626185104,[701164 353096 138760],82688772370119134
720575940637464718,[618376 203284  35240],81278923249809207
720575940608212548,[463820 282988  45040],78606216707883859
720575940622823719,[629980 242840 206400],81420279817025631
720575940622655709,[719148 204936 137040],82967773445633314
720575940610131093,[718420 203612 150920],82967773512500330
720575940604754534,[510004 122000  52240],79377592834522215
720575940621185050,[410680 223216  60280],77690392241904402
720575940622811430,[482420 198704  26240],78886248508426731
720575940611471283,[727420 179960 181440],83108098751483188
720575940623212988,[722084 184612 178800],83037798726688538
720575940618115669,[492084 292268  56680],79098935356494526
720575940617424468,[719948 193520 136400],82967567287188230
720575940611047446,[636104 295884 175800],81561910524700007
720575940638668659,[624608 224756  52200],81349635658409431
720575940634588517,[439224 248008 223800],78183386304905219
720575940642894628,[453604 195244 217320],78393667903481588
720575940615274914,[331308 175236 163160],76282261779736494
720575940630357110,[695240 109032 133640],82543911712667099
720575940610113905,[460988 256968 222560],78535436184177220
720575940627892935,[383716 170444  88720],77196917813284651
720575940624013606,[727200 180960 165480],83108098750893817
720575940637791603,[712920 276440  60000],82898572663668435
720575940660235649,[471576 199636 210840],78745580343644749
720575940631693026,[496368 367192 149560],79170610105920431
720575940628786908,[341868 221384 169560],76494123993090540
720575940617128059,[370020 283404 113400],76987735793404406
720575940623084170,[551556 363956 117400],80085334926609195
720575940637712243,[400164 238476  53400],77479560886726700
720575940625422867,[634628 229144 206080],81560811146923729
720575940629097922,[492260 195356  36800],79097354741239877
720575940623020263,[525180 145220 160360],79659411744319373
720575940629856312,[723864 183300 181360],83037798726782009
720575940633265844,[734640 169432 181840],83248630081414311
720575940614601077,[732372 175612 173960],83178398775928034
720575940610227162,[325348 176252 172680],76211893102258381
720575940616265077,[364800 158372 102480],76915305397513007
720575940603823136,[722728 193172 146720],83037936098110829
720575940643401326,[724088 190772 147720],83037867378674922
720575940643207191,[726016 181056 172600],83108098751164960
720575940610578405,[730420 174896 176680],83178398776022104
720575940607152085,[725960 181516 183520],83108098751552762
720575940621086157,[727172 182500 160720],83108098684377045
720575940636234473,[723332 185228 170160],83037798726375105
720575940624351076,[733696 170368 174200],83248630081123256
720575940609276514,[736920 170048 175920],83248630081197194
720575940632879842,[476196 295828  44880],78817529098845015
720575940632506947,[508840 348124 178240],79381372808451089
720575940606900354,[420112 149776  65360],77829892846272470
720575940643103511,[415880 181668  63520],77760073857856892
720575940619038493,[644656 234488 206480],81701617354760961
720575940621952439,[402036 176948  82400],77548898906533875
720575940612083240,[411276 180364  66240],77689705113782107
720575940622950663,[719960 195172 138920],82967636006724544
720575940620155489,[638492 226340 206600],81560742427456347
720575940629682396,[356608 281484 125120],76776629627652833
720575940627925703,[506944 129544  43800],79307361528963328
720575940623362698,[623924 221296  54560],81349566938971141
720575940616987426,[480396 290372  50200],78887829123730204
720575940618902488,[338896 163952 192320],76422793243441867
720575940617727793,[327540 188936 164920],76282468004607840
720575940619424020,[691816 162008  76240],82474436120725460
720575940607863561,[504496 119032  42880],79307155370511610
720575940612925346,[349232 270016  99960],76635685846941705
720575940625847810,[442848 321236 200200],78254991932457733
720575940625876484,[590508 123840 155360],80784968053578956
720575940629490476,[397796 163456  80040],77478324003589994
720575940618606040,[334992 182264 184960],76352699376884430
720575940620123631,[601776 326460  80000],80929141247578131
