k,count
1,26383
2,20278
3,14343
4,9369
5,6435
6,4550
7,3565
8,2721
9,2062
10,1690
11,1505
12,1253
13,1089
14,947
15,705
16,596
17,467
18,354
19,305
20,251
21,237
22,195
23,190
24,160
25,155
26,147
27,147
28,133
29,138
30,100
31,105
32,102
33,89
34,86
35,71
36,71
37,62
38,56
39,42
40,59
41,52
42,61
43,46
44,44
45,36
46,34
47,40
48,33
49,30
50,20
51,32
52,27
53,22
54,19
55,9
56,25
57,17
58,26
59,21
60,33
61,13
62,21
63,23
64,24
65,17
66,19
67,22
68,21
69,17
70,13
71,20
72,18
73,14
74,14
75,18
76,8
77,15
78,15
79,7
80,14
81,13
82,9
83,5
84,12
85,8
86,14
87,6
88,8
89,12
90,13
91,5
92,10
93,12
94,9
95,7
96,18
97,8
98,6
99,11
100,9
101,13
102,9
103,7
104,7
105,8
106,15
107,4
108,5
109,6
110,5
111,3
112,5
113,4
114,4
115,9
116,4
117,4
118,3
119,5
120,8
121,5
122,11
123,3
124,5
125,1
126,4
127,1
128,4
129,4
130,2
131,1
132,4
133,4
134,4
135,5
136,6
137,3
138,2
139,2
140,3
141,6
142,2
143,8
144,5
146,2
148,3
149,5
150,7
151,3
152,2
154,1
155,3
156,4
157,2
158,2
159,4
160,1
161,1
163,2
164,2
165,1
166,2
170,3
171,1
172,2
173,2
174,1
175,1
178,1
179,1
180,1
185,1
186,1
187,2
188,1
190,1
191,1
192,2
193,2
196,1
200,1
203,4
205,4
207,2
210,2
211,1
212,1
214,1
222,1
223,1
236,1
237,1
238,1
242,1
245,1
248,1
254,1
257,1
264,1
267,1
276,1
278,1
279,1
280,1
288,1
292,2
295,1
296,1
307,1
308,1
309,1
313,2
315,1
317,1
319,1
322,1
326,1
331,1
334,1
364,2
366,1
367,1
370,1
373,1
376,1
377,1
378,1
381,1
384,1
388,1
393,1
398,1
420,1
437,1
452,1
469,1
485,1
489,1
521,1
541,1
546,1
556,2
594,1
634,1
637,1
652,1
662,1
701,1
709,1
721,1
760,1
811,1
868,1
929,1
1014,1
1292,1
1300,1
1715,1
2730,1
2755,1
4132,1
4448,1
